0, 0-emit, 1537304540731,  
1, 0-emit, 1537304543934,  
3, 0-emit, 1537304543950, 1
3, 0-emit, 1537304543956, 2
3, 0-emit, 1537304543956, 3
3, 0-emit, 1537304544645, 4
3, 0-emit, 1537304544696, 5
3, 0-emit, 1537304547455, 6
3, 0-emit, 1537304547524, 7
3, 0-emit, 1537304551968, 8
4, 0-emit, 1537304551968,  
0, 1, 1-value, 1537304540769,  
1, 1, 1-value, 1537304540769,  
2, 1, 1-value, 1537304543956, 1
3, 1, 1-value, 1537304544645, 1
2, 1, 1-value, 1537304544645, 3
3, 1, 1-value, 1537304547455, 3
2, 1, 1-value, 1537304547455, 5
3, 1, 1-value, 1537304551927, 5
2, 1, 1-value, 1537304551927, 7
3, 1, 1-value, 1537304557897, 7
4, 1, 1-value, 1537304557897,  
0, 0, 1-value, 1537304540771,  
1, 0, 1-value, 1537304540771,  
2, 0, 1-value, 1537304543956, 2
3, 0, 1-value, 1537304544696, 2
2, 0, 1-value, 1537304544696, 4
3, 0, 1-value, 1537304547484, 4
2, 0, 1-value, 1537304547484, 6
3, 0, 1-value, 1537304553064, 6
2, 0, 1-value, 1537304553064, 8
3, 0, 1-value, 1537304559387, 8
4, 0, 1-value, 1537304559387,  
0, 1, 2-indeces, 1537304540761,  
1, 1, 2-indeces, 1537304540761,  
2, 1, 2-indeces, 1537304544645, 1
3, 1, 2-indeces, 1537304547455, 1
2, 1, 2-indeces, 1537304547466, 3
3, 1, 2-indeces, 1537304551927, 3
2, 1, 2-indeces, 1537304551927, 5
3, 1, 2-indeces, 1537304557897, 5
2, 1, 2-indeces, 1537304557897, 7
3, 1, 2-indeces, 1537304566455, 7
4, 1, 2-indeces, 1537304566455,  
0, 0, 2-indeces, 1537304540781,  
1, 0, 2-indeces, 1537304540781,  
2, 0, 2-indeces, 1537304544696, 2
3, 0, 2-indeces, 1537304547484, 2
2, 0, 2-indeces, 1537304547526, 4
3, 0, 2-indeces, 1537304553064, 4
2, 0, 2-indeces, 1537304553064, 6
3, 0, 2-indeces, 1537304559387, 6
2, 0, 2-indeces, 1537304559387, 8
3, 0, 2-indeces, 1537304572436, 8
4, 0, 2-indeces, 1537304572436,  
0, 1, 3-words, 1537304540779,  
1, 1, 3-words, 1537304540779,  
2, 1, 3-words, 1537304547415, 1
3, 1, 3-words, 1537304551927, 1
2, 1, 3-words, 1537304551927, 3
3, 1, 3-words, 1537304557889, 3
2, 1, 3-words, 1537304557897, 5
3, 1, 3-words, 1537304566455, 5
2, 1, 3-words, 1537304566455, 7
3, 1, 3-words, 1537304574462, 7
4, 1, 3-words, 1537304574462,  
0, 0, 3-words, 1537304540781,  
1, 0, 3-words, 1537304540781,  
2, 0, 3-words, 1537304547476, 2
3, 0, 3-words, 1537304553064, 2
2, 0, 3-words, 1537304553064, 4
3, 0, 3-words, 1537304559387, 4
2, 0, 3-words, 1537304559387, 6
3, 0, 3-words, 1537304572436, 6
2, 0, 3-words, 1537304572436, 8
3, 0, 3-words, 1537304575699, 8
4, 0, 3-words, 1537304575699,  
