0, 0-emit, 1515661242139,  
1, 0-emit, 1515661245399,  
3, 0-emit, 1515661245435, 1
3, 0-emit, 1515661245452, 2
3, 0-emit, 1515661245462, 3
3, 0-emit, 1515661245856, 4
3, 0-emit, 1515661245909, 5
3, 0-emit, 1515661248124, 6
3, 0-emit, 1515661248208, 7
3, 0-emit, 1515661251489, 8
4, 0-emit, 1515661251491,  
0, 1, 1-value, 1515661242215,  
1, 1, 1-value, 1515661242215,  
2, 1, 1-value, 1515661245439, 1
3, 1, 1-value, 1515661245853, 1
2, 1, 1-value, 1515661245856, 3
3, 1, 1-value, 1515661248122, 3
2, 1, 1-value, 1515661248123, 5
3, 1, 1-value, 1515661251488, 5
2, 1, 1-value, 1515661251488, 7
3, 1, 1-value, 1515661255309, 7
4, 1, 1-value, 1515661255310,  
0, 0, 1-value, 1515661242217,  
1, 0, 1-value, 1515661242217,  
2, 0, 1-value, 1515661245454, 2
3, 0, 1-value, 1515661245898, 2
2, 0, 1-value, 1515661245898, 4
3, 0, 1-value, 1515661248178, 4
2, 0, 1-value, 1515661248178, 6
3, 0, 1-value, 1515661253553, 6
2, 0, 1-value, 1515661253554, 8
3, 0, 1-value, 1515661258350, 8
4, 0, 1-value, 1515661258350,  
0, 1, 2-indeces, 1515661242190,  
1, 1, 2-indeces, 1515661242193,  
2, 1, 2-indeces, 1515661245852, 1
3, 1, 2-indeces, 1515661248121, 1
2, 1, 2-indeces, 1515661248121, 3
3, 1, 2-indeces, 1515661251481, 3
2, 1, 2-indeces, 1515661251481, 5
3, 1, 2-indeces, 1515661255309, 5
2, 1, 2-indeces, 1515661255309, 7
3, 1, 2-indeces, 1515661260276, 7
4, 1, 2-indeces, 1515661260276,  
0, 0, 2-indeces, 1515661242216,  
1, 0, 2-indeces, 1515661242216,  
2, 0, 2-indeces, 1515661245898, 2
3, 0, 2-indeces, 1515661248174, 2
2, 0, 2-indeces, 1515661248177, 4
3, 0, 2-indeces, 1515661253553, 4
2, 0, 2-indeces, 1515661253553, 6
3, 0, 2-indeces, 1515661258337, 6
2, 0, 2-indeces, 1515661258337, 8
3, 0, 2-indeces, 1515661260417, 8
4, 0, 2-indeces, 1515661260417,  
0, 1, 3-words, 1515661242215,  
1, 1, 3-words, 1515661242216,  
2, 1, 3-words, 1515661248121, 1
3, 1, 3-words, 1515661251481, 1
2, 1, 3-words, 1515661251481, 3
3, 1, 3-words, 1515661255309, 3
2, 1, 3-words, 1515661255309, 5
3, 1, 3-words, 1515661260275, 5
2, 1, 3-words, 1515661260276, 7
3, 1, 3-words, 1515661266463, 7
4, 1, 3-words, 1515661266463,  
